Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL.NS,EQ,INE256A01028
One 97 Communications Ltd.,Financial Services,PAYTM.NS,EQ,INE982J01020
Alok Industries Ltd.,Textiles,ALOKINDS.NS,EQ,INE270A01029
